time,NewID,FCH4_count,nbar1,nbar2,nbar3,nbar4,nbar5,nbar6,nbar7,sm_s_wetness,sm_r_wetness,sm_p_wetness,pa,tas,spfh,ts1,ts2,ts3,rsds,rsdl,le,h,dem,slope,cti,spi,FCH4_mean
2016-04-29,CASCC,38,484.0,1623.0,214.0,388.0,1651.0,1187.0,593.0,0.7373228073120117,0.7463141083717346,0.7014238238334656,97.261515625,10.907129287719727,0.005946617107838392,5.057672,-0.109106444,-0.7616638000000001,18272798.4375,25564644.140625,71.3799,19.335966,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,6.832131578947368
2016-04-30,CASCC,41,474.0,1622.0,208.0,382.0,1672.0,1192.0,602.0,0.7096712589263916,0.7443243265151978,0.7021418809890747,97.5943828125,7.795495510101317,0.004194288514554501,5.714105,0.005426025500000001,-0.55359495,23070696.6796875,21887252.9296875,106.99826000000002,8.411566,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,9.41619512195122
2016-05-01,CASCC,38,476.0,1612.0,205.0,384.0,1679.0,1164.0,591.0,0.6426809430122375,0.7359328269958496,0.6962908506393433,97.64965625,11.023340225219727,0.0045081935822963715,6.3766110000000005,0.12435303,-0.42487183,23118401.953125,23606759.1796875,113.06531499999998,0.21373415,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,14.768421052631581
2016-05-02,CASCC,31,468.0,1606.0,197.0,375.0,1686.0,1159.0,585.0,0.6221657991409302,0.7299965023994446,0.6913008093833923,97.56971875,15.889612197875975,0.0066409427672624605,8.923333999999997,2.2042174,-0.1626648,22992229.6875,26232827.34375,97.761734,22.700932,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,21.49258064516129
2016-05-03,CASCC,35,465.0,1631.0,195.0,374.0,1700.0,1181.0,593.0,0.6405123472213745,0.7269435524940491,0.6883463859558105,97.0518671875,17.781518936157227,0.007357658352702856,12.436762,4.893945,-0.09354248,24062670.703125,26173369.3359375,114.90438,5.7034955,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,14.796714285714293
2016-05-04,CASCC,17,463.0,1645.0,192.0,373.0,1728.0,1206.0,598.0,0.7254647016525269,0.732209324836731,0.6917451620101929,96.6219609375,14.155786514282227,0.006828479003161192,12.246241,7.1112,0.0032287599,10987410.05859375,28474973.4375,59.446186,5.042188,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,22.225294117647056
2016-05-05,CASCC,34,482.0,1665.0,205.0,395.0,1746.0,1232.0,606.0,0.7321571111679077,0.7379145622253418,0.6963436007499695,97.3449296875,7.6447386741638175,0.004539513029158114,7.5575194,5.389154,0.010003662,19079112.3046875,23848695.703125,76.126175,41.30478,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,25.40955882352941
2016-05-06,CASCC,35,498.0,1680.0,209.0,392.0,1762.0,1236.0,614.0,0.6772317886352539,0.7336560487747192,0.6932938694953918,97.8885,8.915460586547852,0.0043245707638561726,6.904992599999999,4.3082213,0.010003662,18367665.8203125,23316931.0546875,83.75499,11.005651,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,53.520285714285706
2016-05-07,CASCC,44,495.0,1699.0,206.0,394.0,1782.0,1252.0,620.0,0.6569665670394897,0.7293063998222351,0.6898537874221802,96.5876953125,11.149927139282227,0.005289292428642511,9.488428,5.1190124,0.010003662,21450679.1015625,24728000.9765625,101.28024,25.492144,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,26.83318181818182
2016-05-08,CASCC,43,492.0,1712.0,205.0,395.0,1803.0,1269.0,627.0,0.6730923652648926,0.7278448939323425,0.6882949471473694,96.6846015625,6.5641722679138175,0.004227738361805677,7.5566344,5.3655944,0.010003662,18054355.078125,23679230.2734375,75.35495,49.813786,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,29.23674418604652
2016-05-09,CASCC,42,475.0,1721.0,185.0,395.0,1838.0,1294.0,640.0,0.6756789684295654,0.7263856530189514,0.6869983673095703,98.040625,3.5877928733825684,0.0035794370342046022,4.109979,3.1961607999999995,0.010003662,23902352.9296875,21576694.921875,76.641846,79.16037,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,29.569047619047623
2016-05-10,CASCC,30,477.0,1727.0,186.0,397.0,1844.0,1298.0,642.0,0.6432223916053772,0.7218570113182068,0.683163046836853,98.7603671875,7.5954833030700675,0.003195953089743853,5.1805663,3.0035338,0.010003662,26573974.8046875,20522086.5234375,86.10278000000002,73.50649,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,23.81533333333333
2016-05-11,CASCC,34,482.0,1745.0,187.0,403.0,1859.0,1307.0,645.0,0.6139510273933411,0.7160797715187073,0.6783487200737,99.444203125,7.826806545257567,0.003370516933500767,6.0414367,3.5411925,0.010003662,26650812.3046875,20706549.609375,81.88864000000002,80.677216,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,10.253382352941175
2016-05-12,CASCC,32,483.0,1782.0,184.0,406.0,1885.0,1327.0,651.0,0.6322686672210693,0.7127382159233093,0.6752398014068604,99.471640625,10.782617568969727,0.0032231200020760298,7.1940246,4.0081115,0.010003662,25507413.28125,21867053.90625,90.070885,55.312614,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,17.81928125
2016-05-13,CASCC,33,479.0,1784.0,183.0,406.0,1886.0,1320.0,649.0,0.6476557850837708,0.7104347944259644,0.672890841960907,99.1300546875,13.530969619750975,0.004115357529371978,9.660151,5.2351317,0.010003662,25321436.71875,23786131.640625,103.998825,37.80348,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,25.73033333333333
2016-05-14,CASCC,30,469.0,1789.0,171.0,400.0,1890.0,1331.0,646.0,0.627507746219635,0.7059192657470703,0.6689744591712952,98.66615625,16.237695693969727,0.005008891690522432,11.832575,6.7282653,0.010003662,26184076.171875,24773018.5546875,116.43549,32.647240000000004,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,15.991
2016-05-15,CASCC,39,468.0,1816.0,171.0,403.0,1932.0,1350.0,649.0,0.6102222204208374,0.7005674839019775,0.6643885970115662,97.6303359375,17.494348526000973,0.004972528200596571,13.656458,8.053125,0.010003662,26638692.1875,24919532.2265625,135.1685,9.038275,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,24.492564102564106
2016-05-16,CASCC,45,471.0,1835.0,172.0,408.0,1949.0,1360.0,650.0,0.6017271280288696,0.6956532597541809,0.6600655913352966,97.46734375,11.523950576782227,0.00610871985554695,11.997858,8.614588000000001,0.010003662,13161131.54296875,27221141.6015625,64.04856,18.769043,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,24.334
2016-05-17,CASCC,29,472.0,1839.0,172.0,408.0,1953.0,1364.0,652.0,0.617224931716919,0.6939515471458435,0.6581174731254578,97.612578125,9.122064590454102,0.006248388439416885,8.207148,6.3442016,0.010003662,8274842.578125,27223720.3125,31.272997,7.4517674,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,15.084724137931035
2016-05-18,CASCC,24,476.0,1861.0,173.0,416.0,1978.0,1376.0,662.0,0.661160945892334,0.6950631737709045,0.658514678478241,97.71509375,6.2543578147888175,0.00556009728461504,6.564447,5.0580992999999985,0.010064697,7036558.59375,27655106.8359375,39.385406,19.297483,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,27.841666666666665
2016-05-19,CASCC,40,476.0,1871.0,173.0,419.0,1987.0,1384.0,665.0,0.6582354903221129,0.6948346495628357,0.6580917835235596,98.7606171875,3.948754787445069,0.0035172130446881056,4.404779,3.5095153,0.062768556,22079471.484375,22284432.421875,59.22891,93.338326,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,27.570000000000004
2016-05-20,CASCC,42,477.0,1871.0,176.0,423.0,1986.0,1390.0,671.0,0.5940061211585999,0.6878567934036255,0.6525587439537048,98.8814140625,7.3320250511169425,0.003318961709737777,5.298578,3.3022094,0.47454223,27247830.46875,21197583.984375,79.4146,94.84044,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,17.449761904761907
